name,description,model,posted_at,image_url,price,status,mileage,location,country
تويوتا,"2007, تويوتا, كورولا, AE86",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/a9/af/a9af16a83d207e5aa79b15932e38ce61b5624e47582640a2781f8f46b1f40810.jpg.webp,2000000.0,مستعمل,44999.5,"جولة آية, صنعاء",Yemen
هيونداي,"2011, هيونداي, سوناتا, Eco",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/30/28/3028daa71d314894927c5d051786c2e1e82bc7e5531b9ca313ed89b35576bcb7.jpg.webp,851105.0,جديد,0.0,"شيخ عثمان, عدن",Yemen
دايهاتسو,"2013, دايهاتسو, جران ماكس",2013.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/f4/44/f444e94163f978d7f91dc48aba202c6573ae2e40c82135bbaaab1114974961dd.jpg.webp,1451885.0,مستعمل,144999.5,"مديرية التعزية, تعز",Yemen
تويوتا,"2007, تويوتا, توندرا, TRD Pro",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/4d/53/4d53e5ff3c2ce19faccd4ced6ec02caf2fce62ce22a4a08e3496f005f5b91e01.jpg.webp,2127763.0,مستعمل,134999.5,"أخرى, تعز",Yemen
تويوتا,"2022, تويوتا, هيلوكس, Adenture",2022.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/5b/16/5b1651320e75dd3a4b5f86330aafffba8861fbf22c7dc80caf5e4ebff82913ad.jpg.webp,6758776.0,مستعمل,14999.5,"الاصبحي, صنعاء",Yemen
كيا,"2017, كيا, K5, Standard",2017.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/c1/57/c1578bc53cba5537a8b921c383b0089de0429a35e23c9b95ee95702ee4f9149e.jpg.webp,1276658.0,مستعمل,74999.5,"شيخ عثمان, عدن",Yemen
تويوتا,"2015, تويوتا, لايت ايس, AT",2015.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/97/b1/97b1115af95193b637b020dd00219c7c5d56d6c80c9dd4f0184b352291d8bff8.jpg.webp,10000000.0,جديد,0.0,"مديرية التعزية, تعز",Yemen
تويوتا,"2013, تويوتا, كامري, XLE",2013.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/98/5c/985c0ca499bfd1c96e5fadefa2a5b9607651c74684667c0c67ed1b16ed0e8207.jpg.webp,2152795.0,مستعمل,74999.5,"الحي السياسي, صنعاء",Yemen
تويوتا,"2024, تويوتا, راف فور, XSE",2024.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/32/cf/32cf6aa80db050c80adb7f694caf2212d1f74bca511c6a88f437b0c1f303d6c1.jpg.webp,7059166.0,مستعمل,14999.5,"الحي السياسي, صنعاء",Yemen
تويوتا,"2016, تويوتا, هيلوكس, GLX",2016.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/6f/40/6f403c1c543faeb15066c5a1b2b6ab8e5f9ef9968e9cba24bc0d65111b8f245a.jpg.webp,8525899.0,مستعمل,164999.5,"الاصبحي, صنعاء",Yemen
تويوتا,"2013, تويوتا, كامري, XLE",2013.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/1b/79/1b796f99e6eaed3046d54a134a42660d19b7604e0b7b7e05c6914945a8dba5a2.jpg.webp,2252925.0,مستعمل,114999.5,"السبعين, صنعاء",Yemen
تويوتا,"1988, تويوتا, لاند كروزر, GXR",1988.0,2026-04-17,https://opensooqui2.os-cdn.com/noImage/no-image-ar.webp,5500000.0,مستعمل,54999.5,"السائلة, إب",Yemen
كيا,"2017, كيا, سبورتاج, SX",2017.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/a9/6f/a96f9a39532e85aa54e1d6c622eb8f4a58864a9ecb48be714647d3a95688e30d.jpg.webp,2953835.0,مستعمل,154999.5,"جولة آية, صنعاء",Yemen
تويوتا,"2009, تويوتا, فوكسي, Noah S-Z",2009.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/80/09/80097a4d1698c00e044c6a15e194a49d38b51ea74f49455878f23d25077756dd.jpg.webp,5330000.0,مستعمل,5499.5,"أخرى, المكلا",Yemen
تويوتا,"2011, تويوتا, كورولا, XLI",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/0b/8b/0b8b2a6185f8eab3df84a38f4236704c8c947c2b44fa6efdfc1b2abe1ba7022e.jpg.webp,3000000.0,مستعمل,200000.0,"شيخ عثمان, عدن",Yemen
تويوتا,"2021, تويوتا, بريوس, XLE",2021.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/eb/ae/ebae5a92ddcb78d56369abbbde0ece302e84a6c412920f4e3f57e52824e1dc6a.jpg.webp,4380688.0,مستعمل,94999.5,"السنينه, صنعاء",Yemen
تويوتا,"2012, تويوتا, كورولا, GLI",2012.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/7d/e2/7de20012a620699b8cfee198054ad85cd5476083f4278e39d97772475bbea96b.jpg.webp,1752275.0,مستعمل,200000.0,"أخرى, المكلا",Yemen
كيا,"2015, كيا, سول, LX",2015.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/47/68/4768449c1091856eccc6b7fd9e36383309bc264fce3645d29bf69860d7c5348e.jpg.webp,1752275.0,جديد,0.0,"الاصبحي, صنعاء",Yemen
هيونداي,"2007, هيونداي, سنتافي, SEL Premium",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/84/41/84417e9a5e2e2b4a7ca73692936520701885aea2aaedbf938d6a62ac56bd653d.jpg.webp,1200000.0,مستعمل,200000.0,"الجراف الشرقي, صنعاء",Yemen
هيونداي,"2017, هيونداي, سوناتا, Standard",2017.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/90/ea/90ea0b7a4d60d7d4ca66d536f4bd061a78ff2d7f4e6db0dab43660f9a2456b23.jpg.webp,926203.0,مستعمل,200000.0,"أخرى, عدن",Yemen
كيا,"2010, كيا, لوتزي",2010.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/d5/d2/d5d2b2a7aa85ca357315e603f5909ccd7d5e0cc79aa8ed52aeb8b42192877778.jpg.webp,1877438.0,مستعمل,144999.5,"أخرى, تعز",Yemen
هيونداي,"2012, هيونداي, توسان, Limited",2012.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/fb/fa/fbfa7212c4ff7a1ca7093ff2656732d105c1d9f6d4a6778fc6024208053334c5.jpg.webp,1877438.0,مستعمل,174999.5,"الجراف الغربي, صنعاء",Yemen
هيونداي,"2017, هيونداي, توسان, GL",2017.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/97/0f/970f0ef38a5bdfbad1ed2120fe7fcd0ccefb37a27dcdeaec7f0ee8203d3503bd.jpg.webp,2127763.0,مستعمل,200000.0,"الجراف الشرقي, صنعاء",Yemen
كيا,"2013, كيا, سول, GT-Line",2013.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/ea/5e/ea5efaac8795c06a412441263f17e30c0e7b4e8ab1689147f1c849585a46c23e.jpg.webp,1376788.0,جديد,0.0,"شيخ عثمان, عدن",Yemen
مرسيدس بنز,"2014, مرسيدس بنز, الفئة-M, ML 350",2014.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/5c/61/5c61e4954a1d6b44c06ca0e5c67497e3b0322afc650d441898a960675fb17779.jpg.webp,3754875.0,جديد,0.0,"السبعين, صنعاء",Yemen
تويوتا,"2009, تويوتا, سيكويا, EXR",2009.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/7f/19/7f19c9de07da22ae38251ee74b7a128f941674b4fecaad9ccb6f1cbaa790e334.jpg.webp,2628413.0,مستعمل,200000.0,"مديرية المعين, صنعاء",Yemen
تويوتا,"2002, تويوتا, كامري, GLE",2002.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/33/83/338317b29e7eba3c3fc8dd192b0fcb43361ae71ba4efd8e1eeac8016e16e27da.jpg.webp,1501950.0,مستعمل,200000.0,"كريتر, عدن",Yemen
اس دبليو ام,"2007, اس دبليو ام, X30LEV",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/49/6f/496f586b6f733ac350e0756f56f63406323cd6c9af89ec17d293447a341ddaac.jpg.webp,5000000.0,مستعمل,200000.0,"العروق, صنعاء",Yemen
تويوتا,"2003, تويوتا, برادو, VX",2003.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/5f/1f/5f1f885aae08e2fd24213e26039e7ff518df4d8870119e901821c7397eb0bc46.jpg.webp,2753575.0,جديد,500.0,"بير الشايف, صنعاء",Yemen
ايسوزو,"2007, ايسوزو, D-ماكس, GT",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/45/bd/45bd0f2ad381763ce8818e007dfda7566f7f90b0bf94fa2ee4db130edf31b451.jpg.webp,750975.0,مستعمل,200000.0,"مديرية المعين, صنعاء",Yemen
تويوتا,"2016, تويوتا, هيلوكس, GLX",2016.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/07/4a/074af46fe0017fff7f91a1bbac8a9ae98b72ade323befd5835489349387887a6.jpg.webp,400000.0,مستعمل,200000.0,"مديرية التعزية, تعز",Yemen
تويوتا,"2023, تويوتا, هيلوكس, Adenture",2023.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/64/7d/647d5a55d98d2afe9596e9504d243dc24f4b491ef264cf4b47162b4b2b301ff9.jpg.webp,35045503.0,جديد,0.0,"جولة آية, صنعاء",Yemen
بي ام دبليو,"2012, بي ام دبليو, الفئة 3, 320",2012.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/cd/01/cd01e45985e72e51c0847266a8cb4b798b44338edf640ab5d3872c597a8153fa.jpg.webp,1577048.0,جديد,0.0,"شيخ عثمان, عدن",Yemen
بورش,"2016, بورش, كايين, Cayenne",2016.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/95/89/9589df81371f933e4aef952c30ad3ff114aa68869124cc74c5e1e547366898ef.jpg.webp,6258126.0,مستعمل,200000.0,"حده, صنعاء",Yemen
لكزس,"2020, لكزس, GX, GX 460 Premium",2020.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/7c/fa/7cfad2e4493d4daf2ceec982b00518097375d2e4dd71d563a8b798fa6929b32b.jpg.webp,8260726.0,مستعمل,194999.5,"الظهار, إب",Yemen
هيونداي,"2008, هيونداي, اكسنت, GL",2008.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/46/ca/46cacd0e16ff31736f5fdfe6531e1ec2e9cfc7111be6c07f195a8ea8e7b86677.jpg.webp,1001300.0,مستعمل,64999.5,"السنينه, صنعاء",Yemen
كيا,"2014, كيا, سول, EX",2014.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/ee/36/ee36f5ab59d8edf408e72f910c5a44fe30579b9b4aefcf46793663fc0026706a.jpg.webp,1451885.0,مستعمل,104999.5,"شملان, صنعاء",Yemen
كيا,"2009, كيا, برايد, GT-Line",2009.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/2d/12/2d124ac3f2155bb175dd2175fcdf3f0609ab4b3c8ff28ef9a2f55b7295945264.jpg.webp,1076398.0,جديد,0.0,"السبعين, صنعاء",Yemen
هيونداي,"2014, هيونداي, سنتافي, Blue",2014.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/c5/62/c56274cb1a99ad8104ed61af3d4fe9043111daa6177473746a0bf2c89f50f390.jpg.webp,780005999.0,جديد,0.0,"السبعين, صنعاء",Yemen
تويوتا,"2006, تويوتا, فوكسي, Voxy S-Z",2006.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/9e/40/9e409ef9c567208a5a38f1ec1908f582349c0ec66a3c50c239506425448aa4cd.jpg.webp,1500000.0,مستعمل,104999.5,"الحثيلي, صنعاء",Yemen
تويوتا,"2006, تويوتا, فوكسي, Voxy S-Z",2006.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/0d/e1/0de1e476fefca38640d1efb81987a01a37c4fbab26b27080383956514b5be293.jpg.webp,2878738.0,مستعمل,164999.5,"أخرى, عدن",Yemen
ميتسوبيشي,"2006, ميتسوبيشي, باجيرو, GLS",2006.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/ed/c2/edc279d1476595e16ad6cc2fbee918e13ce79f8201a4082b8f892e2bf2f4a05d.jpg.webp,1001300.0,مستعمل,200000.0,"الاصبحي, صنعاء",Yemen
لكزس,"2017, لكزس, GX, GX 470",2017.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/2d/9f/2d9f1236a2bb544712f0122a69b090c35422454e454fb003c553b53a1f3b0397.jpg.webp,5507150.0,مستعمل,174999.5,"الاصبحي, صنعاء",Yemen
تويوتا,"2011, تويوتا, فوكسي, Noah S-Z",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/9b/14/9b14fc2fe2afcbc9a56efdb75e001172207c015d6b92c5d4cb1a051810bb8b44.jpg.webp,5500000.0,مستعمل,194999.5,"أخرى, أبين",Yemen
تويوتا,"2012, تويوتا, راف فور, Limited",2012.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/25/1d/251d72dddba98bf5c0156be7d10864099bdee67b334c7532d84f03bfae34022e.jpg.webp,2252925.0,جديد,0.0,"الاصبحي, صنعاء",Yemen
كيا,"2002, كيا, ريو, Standard",2002.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/85/96/85966fab8b13ea19261f1e1e97346bb223ad3b1eec194a78c2e06bca80b1ecd7.jpg.webp,600000.0,مستعمل,200000.0,"شيخ عثمان, عدن",Yemen
تويوتا,"2005, تويوتا, برادو, VX",2005.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/48/50/48501090e9033461838ac6217777980264b60f52d7768f8a8ca329f1ef7d3768.jpg.webp,10013001.0,مستعمل,174999.5,"أخرى, صنعاء",Yemen
سوزوكي,"2007, سوزوكي, جراند فيتارا, DLX",2007.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/ff/d7/ffd798ed7b5fce99c1b7e49d5312935bc5798b42fa2b466f4dc1a67045adfb76.jpg.webp,625813.0,مستعمل,174999.5,"نقم, صنعاء",Yemen
كيا,"2009, كيا, لوتزي",2009.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/e2/f6/e2f68a89246e03bccacdad0c72f0f69dae1f8d3aec95c1ae3960b3f161416ac9.jpg.webp,500650.0,مستعمل,84999.5,"سعوان, صنعاء",Yemen
هيونداي,"2011, هيونداي, سوناتا, Limited",2011.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/19/9e/199e880e1e6a878e093284826f7d9b8b5854dfa43e136c913f335845d4ae46c0.jpg.webp,4505850.0,جديد,0.0,"شيخ عثمان, عدن",Yemen
هيونداي,"2009, هيونداي, سنتافي, Limited",2009.0,2026-04-17,https://opensooq-images.os-cdn.com/previews/640x480/fc/6e/fc6ed12c377e4510f7cd2fb045327ff802ed309c9366e572f5c44283dac50f5a.jpg.webp,1001300.0,مستعمل,200000.0,"الظهار, إب",Yemen
